No,NAME,FOLLOWERS,ER,COUNTRY,Topic_of_Influence,POTENTIAL_REACH,channel_name,total_subscribers,total_views,total_videos
46,Ultra Movie Parlour @UCYauDsl-rswjQGpA0_-Z9Pw,20800000,-,India,,6200000,Dr. Vivek Bindra: Motivational Speaker,21200000,2003950211,1906
47,Netflix India @UCZSNzBgFub_WWil6TOTYwAg,20600000,-,India,Celebrity,6200000,Goldmines Cineplex,26100000,3178514951,4788
48,Dr. Vivek Bindra: Motivational Speaker @UCR-foyF-C6VuAlwy3KZMkgA,20500000,-,India,,6200000,StarPlus,52800000,58380366545,114739
49,Goldmines Cineplex @UCCrw5RBWF9i8VPt4IxL8IsQ,20400000,-,India,Celebrity,6100000,DLS News,22000000,3141991914,6411
50,StarPlus @UC-LPIU24bQXVljUXivKEeRQ,20100000,-,India,,6000000,Heidi & Zidane बच्चों की कहानियाँ,20400000,14272650035,938
51,DLS News @UCw0ry7cLRUnq3Oaszlhgqfg,19000000,-,India,,5700000,Green Gold TV - Official Channel,21600000,10501099580,2309
52,Heidi & Zidane बच्चों की कहानियाँ @UCC9Iz-AebxsyVF4iZagOtwA,18900000,-,India,,5700000,Khan GS Research Centre,24000000,2472324857,384
53,Green Gold TV - Official Channel @UCiBigY9XM-HaOxUc269ympg,18700000,-,India,,5600000,etvteluguindia,22100000,27757616383,153272
54,Khan GS Research Centre @UCatL-c6pmnjzEOHSyjn-sHA,18200000,3.80%,India,,5500000,Sun TV,29500000,33080500389,118088
55,etvteluguindia @UCSs9H1cyB3OHdy8wkit8ZKg,17800000,-,India,Celebrity Business and Finance Education Television,5300000,Triggered Insaan,23700000,4355422882,342
56,Sun TV @UCBnxEdpoZwstJqC1yZpOjRA,17600000,-,India,,5300000,Dangal TV Channel,43400000,31214064912,39804
57,Triggered Insaan @UCfLuT3JwLx8rvHjHfTymekw,17500000,-,India,Books,5300000,Stubborn Facts,17000000,914008898,316
58,Dangal TV Channel @UCNzmmbXIbMzlqE8nD1PBXfg,17300000,-,India,,5200000,Sidhu Moose Wala,26600000,8467049728,119
59,Stubborn Facts @UCJZ5gFXzSZ9i-R1HEnS8U_A,17300000,-,India,Celebrity,5200000,Village Cooking Channel,27500000,8095535273,236
60,Sidhu Moose Wala @UC9ChdqQRCaZmTCwSJ49tcbw,17100000,5.90%,India,,5100000,Busy Fun Ltd,25200000,10547004949,290
61,Village Cooking Channel @UCk3JZr7eS3pg5AGEvBdEvFg,17100000,1%,India,,5100000,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,24200000,8746304458,312
62,Busy Fun Ltd @UCkKDpnzIG29MA--Sh6oOtWg,16900000,-,India,,5100000,Wow Kidz Action,25200000,11256510394,6472
63,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16700000,-,India,,5000000,Prajapati News,17500000,1105190471,1910
64,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16600000,-,India,,5000000,ZappyToons - Hindi Nursery Rhymes and Stories,27200000,13606944091,675
65,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16100000,-,India,,4800000,Aayu and Pihu Show,18800000,11566990970,644
66,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15900000,-,India,,4800000,RKD Studios,25500000,6708076064,1082
67,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15800000,0.40%,India,Celebrity,4700000,And TV,23400000,21077031670,56456
68,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15700000,-,India,Video Gaming,4700000,SriBalajiMovies,20200000,11823323902,29218
69,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15700000,-,India,,4700000,Taarak Mehta Ka Ooltah Chashmah,28500000,25837189542,14859
70,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15500000,-,India,,4700000,NDTV India,18800000,9013935424,149527
71,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15200000,-,India,,4600000,Volga Video,17200000,8528280952,3669
72,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15100000,-,India,,4500000,Harsh Beniwal,16200000,2018557387,173
73,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15000000,-,India,,4500000,Fun For Kids TV - Hindi Rhymes,21200000,9541047603,236
