No,NAME,FOLLOWERS,ER,COUNTRY,Topic_of_Influence,POTENTIAL_REACH
63,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16700000,-,India,,5000000
64,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16600000,-,India,,5000000
65,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16100000,-,India,,4800000
66,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15900000,-,India,,4800000
67,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15800000,0.40%,India,Celebrity,4700000
68,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15700000,-,India,Video Gaming,4700000
69,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15700000,-,India,,4700000
70,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15500000,-,India,,4700000
71,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15200000,-,India,,4600000
72,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15100000,-,India,,4500000
73,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15000000,-,India,,4500000
74,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15000000,10.30%,India,,4500000
75,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14500000,-,India,,4400000
76,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14400000,-,India,Video Gaming,4300000
77,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14400000,-,India,,4300000
78,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14300000,4.30%,India,,4300000
79,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14200000,-,India,,4300000
80,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14000000,-,India,,4200000
81,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14000000,-,India,,4200000
82,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13900000,-,India,,4200000
83,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13800000,-,India,,4100000
84,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13800000,0.10%,India,Celebrity,4100000
85,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13500000,-,India,,4100000
86,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13500000,-,India,,4100000
87,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13300000,-,India,,4000000
88,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13200000,0.20%,India,,4000000
89,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13200000,0.10%,India,Fashion Beauty,4000000
90,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13100000,-,India,,3900000
91,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13000000,-,India,,3900000
92,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13000000,-,India,Video Gaming,3900000
93,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13000000,0.50%,India,,3900000
94,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13000000,-,India,,3900000
95,Lotus Music @UCJeeXUtsKBj89Ra1nszP4JQ,12900000,-,India,Music,3900000
96,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12800000,-,India,,3800000
97,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12700000,-,India,,3800000
98,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12700000,-,India,,3800000
99,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12600000,-,India,,3800000
100,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12600000,-,India,,3800000
